ts,floor,waypoint_x,waypoint_y,accel_1,accel_2,accel_3,accel_4,magnet_1,magnet_2,magnet_3,magnet_4,gyro_1,gyro_2,gyro_3,gyro_4,magnet_un_1,magnet_un_2,magnet_un_3,magnet_un_4,magnet_un_5,magnet_un_6,magnet_un_7,gyro_un_1,gyro_un_2,gyro_un_3,gyro_un_4,gyro_un_5,gyro_un_6,gyro_un_7,accel_un_1,accel_un_2,accel_un_3,accel_un_4,accel_un_5,accel_un_6,accel_un_7,wifi_1,wifi_2,wifi_3,wifi_4,wifi_ts_diff,beacon_1,beacon_2,beacon_3,beacon_4,beacon_5,beacon_6,beacon_7,beacon_ts_diff,rot_1,rot_2,rot_3,rot_4
1578483065839.0,0,141.92305,82.46128,0.25473022,2.817505,10.357498,2.0,36.575317,-28.076172,-24.246216,3.0,-0.17655945,0.1146698,0.27824402,3.0,35.380554,-23.587036,-363.82446,-1.1947632,4.4891357,-339.57825,3.0,-0.19927979,0.11753845,0.28936768,-0.009933472,0.0039367676,-0.0069885254,3.0,0.19728088,2.9102783,9.957062,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.076971985,0.12829453,0.8477245,3.0
1578483065859.0,0,141.92305,82.46128,0.43849182,2.802536,10.507736,2.0,35.188293,-28.076172,-22.897339,3.0,-0.10145569,0.080581665,0.21485901,3.0,33.99353,-23.587036,-362.4756,-1.1947632,4.4891357,-339.57825,3.0,-0.036819458,0.04296875,0.16419983,-0.009933472,0.0039367676,-0.0069885254,3.0,0.43849182,2.802536,10.507736,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.07601957,0.122343555,0.8508653,3.0
1578483065879.0,0,141.92305,82.46128,0.40496826,3.5615082,9.997177,2.0,36.575317,-28.770447,-24.246216,3.0,0.075912476,-0.008911133,0.12271118,3.0,35.380554,-24.281311,-363.82446,-1.1947632,4.4891357,-339.57825,3.0,0.19807434,-0.041732788,0.07897949,-0.009933472,0.0039367676,-0.0069885254,3.0,0.40496826,3.5615082,9.997177,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.0833226,0.12213031,0.85068375,3.0
1578483065899.0,0,141.92305,82.46128,0.4217224,3.9739075,8.512772,2.0,35.188293,-28.076172,-23.571777,3.0,0.3480835,-0.058441162,0.05987549,3.0,33.99353,-23.587036,-363.15002,-1.1947632,4.4891357,-339.57825,3.0,0.19807434,-0.041732788,0.07897949,-0.009933472,0.0039367676,-0.0069885254,3.0,0.40496826,3.5615082,9.997177,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.09254893,0.13160604,0.84609234,3.0
1578483065919.0,0,141.92305,82.46128,-0.22290039,3.7099457,6.7931366,2.0,37.269592,-28.076172,-22.897339,3.0,0.45088196,0.00920105,-0.013641357,3.0,36.07483,-23.587036,-362.4756,-1.1947632,4.4891357,-339.57825,3.0,0.31578064,0.09889221,-0.050979614,-0.009933472,0.0039367676,-0.0069885254,3.0,-0.22290039,3.7099457,6.7931366,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.096238,0.14266045,0.84165937,3.0
1578483065940.0,0,141.92305,82.46128,-1.1716156,2.5583344,7.095398,2.0,37.269592,-30.15747,-23.571777,3.0,0.08604431,0.20414734,-0.061569214,3.0,36.07483,-25.668335,-363.15002,-1.1947632,4.4891357,-339.57825,3.0,-0.2397461,0.3295288,-0.07762146,-0.009933472,0.0039367676,-0.0069885254,3.0,-1.1716156,2.5583344,7.095398,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.096238,0.14266045,0.84165937,3.0
1578483065960.0,0,141.92305,82.46128,-1.892273,1.6138306,9.884644,2.0,37.963867,-27.383423,-22.897339,3.0,-0.5643158,0.43743896,-0.072753906,3.0,36.769104,-22.894287,-362.4756,-1.1947632,4.4891357,-339.57825,3.0,-0.8490906,0.50315857,-0.07229614,-0.009933472,0.0039367676,-0.0069885254,3.0,-1.892273,1.6138306,9.884644,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.08592367,0.14652568,0.84258527,3.0
1578483065980.0,0,141.92305,82.46128,-2.1622162,2.0148468,13.167694,2.0,35.88257,-28.770447,-24.92218,3.0,-0.98083496,0.46780396,-0.038146973,3.0,34.687805,-24.281311,-364.50043,-1.1947632,4.4891357,-339.57825,3.0,-0.8490906,0.50315857,-0.07229614,-0.009933472,0.0039367676,-0.0069885254,3.0,-2.1622162,2.0148468,13.167694,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.064155124,0.14009474,0.84862006,3.0
1578483066000.0,0,141.92305,82.46128,-1.9587097,2.908493,13.219162,2.0,37.269592,-28.770447,-24.246216,3.0,-0.6255646,0.2281189,0.100875854,3.0,36.07483,-24.281311,-363.82446,-1.1947632,4.4891357,-339.57825,3.0,-0.9295044,0.36573792,0.011871338,-0.009933472,0.0039367676,-0.0069885254,3.0,-1.9587097,2.908493,13.219162,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.04476165,0.13109922,0.8548503,3.0
1578483066020.0,0,141.92305,82.46128,-1.3559723,3.0910492,9.579987,2.0,35.188293,-28.076172,-23.571777,3.0,0.2692566,-0.008911133,0.29582214,3.0,33.99353,-23.587036,-363.15002,-1.1947632,4.4891357,-339.57825,3.0,-0.18649292,0.09623718,0.19082642,-0.009933472,0.0039367676,-0.0069885254,3.0,-1.9587097,2.908493,13.219162,0.0,0.0,0.0,3.0,NULL,NULL,-51.0,2437.0,-1518.0,NULL,NULL,NULL,-59.0,-78.0,7.852880042745979,NULL,0.0,0.037187308,0.13002767,0.8580102,3.0
